Record ID	PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
Record 3301	PHI:2661	Uniprot	Q4X0J5	Genbank	EAL93620	Af293	MedA	no data found					no	746128	Aspergillus fumigatus	330879	Af293	Invasive pulmonary aspergillosis	Insecta	7137	Greater wax moth	no data found			larvae	Developmental Regulator	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	aberrant	no data found	aberrant	no data found	no data found	no data found	no data found			no data found	Gene mutation: characterised; Gene complementation		na	RP	23185496	Pubmed	10.1371/journal.pone.0049959	no comments
Record 3302	PHI:2662	Uniprot	A4VZ16	Genbank	ABP91355	98HAH33	HP0197	no data found					no	1307	Streptococcus suis	391295	05ZY	Meningitis	Animal	10090	Mouse	CD-1			blood	Surface protective antigen 	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23226442	Pubmed	10.1371/journal.pone.0050987	no comments
Record 3303	PHI:2662	Uniprot	A4VZ16	Genbank	ABP91355	98HAH33	HP0197	no data found					no	1307	Streptococcus suis	391295	05ZY	Meningitis	Animal	9823	Pig	no data found			blood	Surface protective antigen 	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23226442	Pubmed	10.1371/journal.pone.0050987	no comments
Record 3304	PHI:2663	Uniprot	Q4DDC5	Genbank	XP_812391	CL Brener	delta-amastin	no data found					no	5693	Trypanosoma cruzi	353153	CL Brener	Chagas Disease	Animal	10090	Mouse	A/JUnib			liver	Surface glycoprotein	no data found	no data found	no data found	Increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression/ gene regulation: overexpression		na	RP	23272170	Pubmed	10.1371/journal.pone.0051804	no comments
Record 3305	PHI:2664	Uniprot	C5AIS7	Genbank	ACR31807  	BGR1	tofM	no data found					no	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
Record 3306	PHI:2665	Uniprot	Q4VSJ8	Genbank	AAV52805	BGR1	tofI	no data found					no	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
Record 3307	PHI:2666	Uniprot	Q4VSJ9	Genbank	AAV52804	BGR1	tofR	no data found					no	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
Record 3308	PHI:2664	Uniprot	C5AIS7	Genbank	ACR31807  	BGR1	tofM	no data found					PHI:2665; PHI:2666	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
Record 3309	PHI:2665	Uniprot	Q4VSJ8	Genbank	AAV52805	BGR1	tofI	no data found					PHI:2664; PHI:2666	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
Record 3310	PHI:2666	Uniprot	Q4VSJ9	Genbank	AAV52804	BGR1	tofR	no data found					PHI:2664; PHI:2665	337	Burkholderia glumae	no data found	336gr-1	Panicle blight	Monocot	4530	Rice	no data found			panicles	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene deletion: full; Gene complementation		na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
